number,equals,name
0xa4,=>,S_LOAD_GATHERCOMBINE_COOLTIME
0xa5,=>,S_PARTY_MATCH
0xa6,=>,S_USER_SELL_HISTORY_LIST
0xa7,=>,S_LOAD_WAREHOUSE
0xa8,=>,S_ADD_WAREHOUSE
0xa9,=>,S_REMOVE_WAREHOUSE
0xaa,=>,S_CHANGE_WAREHOUSE_ITEM_DESC
0xab,=>,S_SHOP_CATEGORY_INFO
0xac,=>,S_SHOP_GOODS_LIST
0xad,=>,S_SHOP_GOODS_INFO
0xaf,=>,S_TITLE
0xb0,=>,S_2ND_PASSWORD
0xb2,=>,S_FATIGUE_KOREA
0xb3,=>,S_COMBINE_OTHER
0xb4,=>,S_COMBINE
0xb5,=>,S_PLAY_MODE
0xb6,=>,S_USE_ITEM
0xb7,=>,S_CHANGE_FLAG
0xb8,=>,S_DUEL
0xb9,=>,S_CLIENTSIDE_NPC_BLINK
0xba,=>,S_FUNCTIONAL_PET_MOVE
0xbb,=>,S_RECONNECT_OTHER_SERVER
0xbc,=>,S_LOAD_PVP_ENV
0xbd,=>,S_CHANGE_PVP_ENV
0xbe,=>,S_POLL_CONTENTS
0xbf,=>,S_GM_COMMENT
0xc0,=>,S_RESURRECT_INFO
0xc1,=>,S_RESURRECT_BY_OTHER
0xc2,=>,S_MOVEBACK
0xc3,=>,S_ROUTEMAP_INFO
0xc4,=>,S_GAUGE
0xc5,=>,S_SHOW_NPC_MOTION
0xc6,=>,S_L2AUTH_LOGIN_CHECK
199,=>,S_CHARACTER_LIST
200,=>,S_CREATE_CHARACTER
0xc9,=>,S_DELETE_CHARACTER
0xca,=>,S_RESTORE_CHARACTER
0xcb,=>,S_FORCE_BLINK
0xcc,=>,S_LOOT
0xcd,=>,S_LOOT_ITEMLIST
0xce,=>,S_RECIPE_LIST
0xcf,=>,S_SKILL_ACTIVATED
0xd0,=>,S_ABYSS_INFO
0xd1,=>,S_CHANGE_ABYSS_PVP_STATUS
0xd2,=>,S_SEARCH_USER_RESULT
0xd3,=>,S_GUILD_EMBLEM_UPLOAD_RESULT
0xd4,=>,S_GUILD_EMBLEM_IMG_BEGIN
0xd5,=>,S_GUILD_EMBLEM_IMG_DATA
0xd6,=>,S_GUILD_EMBLEM_UPDATED
0xd7,=>,S_SKILL_PENALTY_STATUS
0xd8,=>,S_SKILL_PENALTY_STATUS_OTHER
0xd9,=>,S_ABYSS_SHIELD_INFO
0xdc,=>,S_ARTIFACT_INFO
0xde,=>,S_BUDDY_RESULT
0xdf,=>,S_BLOCK_RESULT
0xe0,=>,S_BLOCK_LIST
0xe1,=>,S_NOTIFY_BUDDY
0xe3,=>,S_CUR_STATUS
0xe4,=>,S_VIRTUAL_AUTH
0xe5,=>,S_CHANGE_CHANNEL
0xe6,=>,S_SIGN_CLIENT
0xe7,=>,S_LOAD_MACRO
0xe8,=>,S_MACRO_RESULT
0xe9,=>,S_EXIST_RESULT
0xea,=>,S_EXTRA_ITEM_CHANGE_CONTEXT
0xeb,=>,S_RESURRECT_LOC_INFO
0xec,=>,S_WORLD_INFO
0xed,=>,S_ABYSS_POINT
0xee,=>,S_BUILDER_LEVEL
0xef,=>,S_PETITION_STATUS
0xf0,=>,S_BUDDY_DATA
0xf1,=>,S_ADD_RECIPE
0xf2,=>,S_REMOVE_RECIPE
0xf3,=>,S_CHANGE_ABYSS_TELEPORTER_STATUS
0xf4,=>,S_FLIGHT_POINT
0xf5,=>,S_ALLIANCE_INFO
0xf6,=>,S_ALLIANCE_MEMBER_INFO
0xf7,=>,S_GROUP_INFO
0xf8,=>,S_GROUP_MEMBER_INFO
0xf9,=>,S_TACTICS_SIGN
0xfa,=>,S_GROUP_READY
0xfc,=>,S_TAX_INFO
0xfd,=>,S_STORE_SALE_INFO
0xfe,=>,S_INVINCIBLE_TIME
0xff,=>,S_RECONNECT_KEY
0x100,=>,S_WEB_NOTI
0x101,=>,S_BM_PACK_LIST
0x106,=>,S_REPLY_NP_LOGIN_GAMESVR
0x107,=>,S_REPLY_NP_CONSUME_TOKEN_RESULT
0x108,=>,S_REPLY_NP_AUTH_TOKEN
0x11f,=>,S_GPK_AUTH
0x120,=>,S_GPK_HEARTBEAT
0x10a,=>,S_NPSHOP_GOODS_COUNT
0x10b,=>,S_NPSHOP_GOODS_CHANGE
0x10c,=>,S_RESPONSE_NPSHOP_GOODS_LIST
0x10d,=>,S_RESPONSE_NPSHOP_GOODS_RECV
0x119,=>,S_GAMEPASS_INFO
0x11a,=>,S_GAMEPASS_OTHER_UPDATED
0x130,=>,S_RANK_LIST
0x131,=>,S_RANK_INFO
0x138,=>,S_RANKING_BADGE
0x139,=>,S_RANKING_BADGE_OTHER
0x13a,=>,S_RANKING_BADGE_LIST
0x13c,=>,S_GLOBAL_TRADE_LIST
0x13d,=>,S_GLOBAL_TRADE_MYLIST
0x13e,=>,S_GLOBAL_TRADE_BUY
0x13f,=>,S_GLOBAL_TRADE_COMMIT
0x140,=>,S_GLOBAL_TRADE_CANCEL
0x141,=>,S_GLOBAL_TRADE_SALESLOG
0x142,=>,S_GLOBAL_TRADE_COLLECT
0x143,=>,S_GLOBAL_TRADE_AVG_PRICE
0x144,=>,S_GLOBAL_TRADE_STATE
0x145,=>,S_GLOBAL_TRADE_HISTORY
0x10e,=>,S_SERVER_ENV
0x11d,=>,S_READY_ENTER_WORLD
0x132,=>,S_RESULT_PASSPORT_FIRST
0x133,=>,S_RESULT_PASSPORT
0x10f,=>,S_LOAD_ACHIEVEMENT
0x110,=>,S_PROGRESS_ACHIEVEMENT
0x111,=>,S_REWARD_ACHIEVEMENT_RESULT
0x112,=>,S_CREATE_ACHIEVEMENT_EVENT
0x113,=>,S_DELETE_ACHIEVEMENT_EVENT
0x114,=>,S_UPDATE_ACHIEVEMENT_EVENT
0x115,=>,S_REWARD_ACHIEVEMENT_EVENT_RESUL
0x116,=>,S_CLEAR_ACHIEVEMENT_EVENT
0x117,=>,S_BATTLEPASS_LIST
0x118,=>,S_BATTLEPASS_UPDATED
0x122,=>,S_USER_CLASSIC_WARDROBE_LOAD
0x123,=>,S_USER_CLASSIC_WARDROBE_INFO_UPD
0x124,=>,S_USER_CLASSIC_WARDROBE_DATA_UPD
0x109,=>,S_LOAD_PROMOTION
0x12f,=>,S_LOAD_EQUIPMENT_CHANGE
0x146,=>,S_USER_BIND_STONE_INFO
0x121,=>,S_CHAT_ACCUSE
0x126,=>,S_SPAM_FILTER_FLAG
0x127,=>,S_GLOBAL_EVENT_BOOST_LIST
0x128,=>,S_CHANNEL_CHATTING_PERMISSION
0x129,=>,S_LOAD_CHANNEL_CHATTING_BLACKLIS
0x12a,=>,S_RESPONSE_CHANNEL_CHATTING_TELL
299,=>,S_ADD_CHANNEL_CHATTING_BLACKLIST
300,=>,S_CHANNEL_CHATTING_BLACKLIST_SET
0x12d,=>,S_REMOVE_CHANNEL_CHATTING_BLACKL
0x13b,=>,S_GOTCHA_NOTIFY
0x14c,=>,S_USER_STORY_BOOK_FINISHED_LIST_
0x14d,=>,S_USER_STORY_BOOK_REGISTERED_ITE
0x14e,=>,S_USER_STORY_BOOK_UPDATE_RESULT
0x14f,=>,S_USER_STORY_BOOK_RESET
0x16e,=>,S_PROTOCOL_MAX
