number,equals,name
0xac,=>,C_CHANGE_CHANNEL
0xad,=>,C_FOLLOW_CHANNEL
0xae,=>,C_SIGN_CLIENT
0xaf,=>,C_SAVE_MACRO
0xb0,=>,C_DELETE_MACRO
0xb1,=>,C_CHECK_EXIST
0xb2,=>,C_SWAP_ITEM_SLOT
0xb3,=>,C_CHANGE_BLOCK_MEMO
0xb4,=>,C_DEBUG_COMMAND
0xb5,=>,C_TACTICS_SIGN
0xb8,=>,C_RECONNECT_AUTH
0xb9,=>,C_GROUP_ITEM_DIST
0xba,=>,C_GROUP_CHANGE_LOOTDIST
0xbb,=>,C_SA_ACCOUNT_ITEM_QUERY
0xbc,=>,C_SA_ACCOUNT_ITEM_ACK
0xbd,=>,C_REQUEST_ABYSS_RANKER_INFO
0xbe,=>,C_ROUTE_INFO
0xbf,=>,C_CHECK_MESSAGE
0xc0,=>,C_ACCUSE_CHARACTER
0xc1,=>,C_INSTANCE_DUNGEON_COOLTIMES
0xc2,=>,C_SHOP_REQUEST
0xc3,=>,C_ASK_BOT_POINT
0xc4,=>,C_RECALLED_BY_OTHER_ANSWER
0xc5,=>,C_REQUEST_SERIAL_KILLER_LIST
0xc6,=>,C_ADDED_SERVICE_REQUEST
199,=>,C_SNDC_CHECK_MESSAGE
200,=>,C_GGAUTH_CHECK_ANSWER
0xc9,=>,C_MATCHMAKER_REQ
0xca,=>,C_CLIENTSIDE_NPC_MOVE
0xcb,=>,C_CLIENTSIDE_NPC_ACTION
0xcc,=>,C_CLIENTSIDE_NPC_ATTACK
0xcd,=>,C_CLIENTSIDE_NPC_BLINK
0xce,=>,C_CLIENTSIDE_NPC_USE_SKILL
0xcf,=>,C_COMPOUND_2H_WEAPON
0xd0,=>,C_REMOVE_COMPOUND
0xd1,=>,C_ASK_GLOBAL_PLAYTIME_FATIGUE_IN
0xd2,=>,C_2ND_PASSWORD
0xd3,=>,C_UNUSED_2ND_PASSWORD1
0xd4,=>,C_UNUSED_2ND_PASSWORD2
0xd5,=>,C_SA_GOODSLIST
0xd6,=>,C_SA_CONFIRMGOODS
0xe4,=>,C_GPK_CHECK_HEARTBEAT
0xda,=>,C_REQUEST_NPSHOP_GOODS_COUNT
0xfc,=>,C_GLOBAL_TRADE_LIST
0xfd,=>,C_GLOBAL_TRADE_MYLIST
0xfe,=>,C_GLOBAL_TRADE_BUY
0xff,=>,C_GLOBAL_TRADE_COMMIT
0x100,=>,C_GLOBAL_TRADE_CANCEL
0x101,=>,C_GLOBAL_TRADE_SALESLOG
0x102,=>,C_GLOBAL_TRADE_COLLECT
0x103,=>,C_GLOBAL_TRADE_AVG_PRICE
0x104,=>,C_GLOBAL_TRADE_STATE
0x105,=>,C_GLOBAL_TRADE_HISTORY
0xf3,=>,C_REQUEST_RANK_LIST
0xf4,=>,C_REQUEST_RANK_INFO
0xf8,=>,C_REQUEST_CHANGE_RANKING_BADGE
0xf9,=>,C_REQUEST_RANKING_BADGE_LIST
0xf0,=>,C_HQ_LOGIN
0xe2,=>,C_READY_ENTER_WORLD_ACK
0x10c,=>,C_USER_STORY_BOOK_REGISTER_ITEM
0x114,=>,C_PROTOCOL_MAX
